annonceur,plateforme,date_lancement,jours_actifs,statut,nb_variantes,hook_exact,promesse,mecanisme,preuve,format,cta,url_landing,reach_ue,niveau_conscience_vise,verdict,source,confiance
"Afriqmarket Shop","Meta","2025-12-16","225","active","2","Découvrez Afriqmarket Shop, votre marketplace au Sénégal","Produits locaux et internationaux avec paiements sécurisés","Catalogue multi-catégories et multi-paiement","Longévité publicitaire observée; produits annoncés garantis","Image/vidéo à collecter","Acheter","https://shop.afriqmarket.com/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=marketplace%20S%C3%A9n%C3%A9gal&search_type=keyword_unordered","haute"
"Afriqmarket Shop","Meta","2025-12-16","225","active","2","Mode, high-tech, beauté, alimentation, artisanat local","Tout trouver avec support réactif","Marketplace locale et paiements Orange, Free, Wave, carte et PayPal","Longévité publicitaire observée","Image/vidéo à collecter","Acheter","https://shop.afriqmarket.com/","n/a","product-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=marketplace%20S%C3%A9n%C3%A9gal&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-03-15","136","active","11","Profitez du plus grand choix au Sénégal.","De la mode à l'électro, tout est à un clic","Application et catalogue dynamique","Réplication DPA sur de nombreuses variantes et longue durée","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-03-15","136","active","11","De la mode à l'électro, tout ce dont vous avez besoin est à un clic","Choix national multi-catégories","Application mobile","Marque installée et variantes toujours actives","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","product-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-04-27","93","active","11","Profitez du plus grand choix au Sénégal.","Choix et simplicité d'accès","Catalogue dynamique de produits","Annonce active à la date de collecte","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-04-28","92","active","11","De la mode à l'électro","Tout au même endroit","Catalogue multi-catégories","Annonce active à la date de collecte","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","product-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-05-01","89","active","11","Tout ce dont vous avez besoin est à un clic","Réduire l'effort d'achat","Application mobile","Annonce active à la date de collecte","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-05-02","88","active","11","Profitez du plus grand choix au Sénégal.","Choix et disponibilité","Catalogue dynamique","Annonce active à la date de collecte","Catalogue dynamique","Installer","https://www.jumia.sn/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-01-15","50","inactive","1","Moins cher ci Jumia rek","Meilleur prix 2025 et stock limité","Promotions et urgence","50 jours de diffusion observés","Image/vidéo à collecter","Acheter","https://www.jumia.sn/","n/a","product-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-04-06","114","active","1","Vendez sur Jumia","Rejoindre la marketplace comme vendeur","Formulaire d'inscription vendeur","Annonce active à la date de collecte","Image/vidéo à collecter","S'inscrire","https://www.jumia.sn/sp-vendez-sur-jumia/","n/a","solution-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-06-11","48","active","1","Style de supportrice","S'équiper pour chaque grand match","Sélection mode événementielle","Annonce active pendant la saison sportive","Image/vidéo à collecter","Acheter","https://www.jumia.sn/","n/a","product-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-06-11","48","active","1","Gardez vos boissons fraîches et préparez vos snacks","S'équiper pour la saison foot","Sélection électroménager contextuelle","Annonce active pendant la saison sportive","Image/vidéo à collecter","Acheter","https://www.jumia.sn/","n/a","product-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-07-09","20","active","1","Astech, Smart Technology ou Roch, les meilleures marques sont en promo","Promotions sur des marques reconnues","Sélection de marques","20 jours actifs à la collecte","Image/vidéo à collecter","Acheter","https://www.jumia.sn/","n/a","most-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Jumia Sénégal","Meta","2026-07-09","20","active","1","Des milliers d'articles et des promos chaque jour pour toi","Choix et économies quotidiennes","Promotions permanentes","20 jours actifs à la collecte","Image/vidéo à collecter","Acheter","https://www.jumia.sn/","n/a","product-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"VIC MALL via Jumia","Meta","2026-01-13","197","active","1","Commande maintenant et paie à la livraison","Réduire le risque sur un produit à bas prix","Paiement à la livraison via Jumia","Longue durée observée","Image/vidéo à collecter","Acheter","https://www.jumia.sn/sp-vic-mall/","n/a","product-aware","winner_prouve","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Jumia&search_type=keyword_unordered","haute"
"Yoonema","Meta","2025-08-07","12","inactive","1","Raquette Babolat Pure Aero","Qualité, livraison nationale et paiement sécurisé","Fiche produit et livraison","Campagne arrêtée après 12 jours","Image/vidéo à collecter","Acheter","https://sn.yoonema.com/","n/a","most-aware","abandonne","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Yoonema&search_type=keyword_unordered","haute"
"Yoonema","Meta","2026-07-24","5","active","3","Équipe-toi pour le tennis et le padel","Produits disponibles avec livraison nationale","Sélection sport et stock limité","Trois variantes récentes","Image/vidéo à collecter","Acheter","https://sn.yoonema.com/","n/a","product-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Yoonema&search_type=keyword_unordered","haute"
"Yoonema","Meta","2026-07-24","5","active","3","Stock limité","Créer l'urgence sur une sélection sport","Rareté et livraison nationale","Trois variantes récentes","Image/vidéo à collecter","Acheter","https://sn.yoonema.com/","n/a","most-aware","en_test","https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=SN&q=Yoonema&search_type=keyword_unordered","haute"
